City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
"mahebourg, mu",-20.4081,57.7,80.6,83.0,40.0,3.44,MU,1612412584.0
"hithadhoo, mv",-0.6,73.0833,82.98,72.0,59.0,7.05,MV,1612412584.0
"vila franca do campo, pt",37.7167,-25.4333,51.8,71.0,40.0,12.66,PT,1612412585.0
"busselton, au",-33.65,115.3333,73.0,42.0,0.0,4.0,AU,1612412585.0
"manta, ec",-0.95,-80.7333,76.96,87.0,66.0,8.19,EC,1612412585.0
"arraial do cabo, br",-22.9661,-42.0278,76.15,88.0,0.0,22.35,BR,1612412385.0
"katsina, ng",12.9894,7.6006,63.99,26.0,11.0,12.41,NG,1612412586.0
"andros town, bs",24.7,-77.7667,60.8,59.0,0.0,9.22,BS,1612412586.0
"albany, au",-35.0169,117.8917,60.8,72.0,90.0,12.66,AU,1612412586.0
"selje, no",62.0459,5.351,21.0,82.0,0.0,3.0,NO,1612412587.0
"tuy hoa, vn",13.0833,109.3,74.44,82.0,90.0,13.56,VN,1612412587.0
"iqaluit, ca",63.7506,-68.5145,-4.0,77.0,90.0,2.3,CA,1612412568.0
"bluff, nz",-46.6,168.3333,57.09,61.0,0.0,24.05,NZ,1612412587.0
"hilo, us",19.7297,-155.09,77.0,61.0,20.0,3.44,US,1612412588.0
"phangnga, th",8.4509,98.5298,86.0,61.0,20.0,17.27,TH,1612412588.0
"choya, ru",52.0108,86.5467,32.52,96.0,100.0,7.47,RU,1612412588.0
"savannakhet, la",16.566,104.751,80.6,47.0,0.0,4.61,LA,1612412588.0
"dingli, mt",35.8614,14.3822,57.0,94.0,20.0,5.75,MT,1612412588.0
"port elizabeth, za",-33.918,25.5701,66.2,94.0,0.0,6.91,ZA,1612412386.0
"new norfolk, au",-42.7826,147.0587,81.0,37.0,58.0,3.0,AU,1612412386.0
"mae hong son, th",19.3003,97.9685,75.2,50.0,0.0,2.3,TH,1612412579.0
"port alfred, za",-33.5906,26.891,69.01,90.0,46.0,1.99,ZA,1612412589.0
"huilong, cn",31.8111,121.655,51.01,52.0,0.0,1.99,CN,1612412590.0
"puerto ayora, ec",-0.7393,-90.3518,77.0,93.0,19.0,1.01,EC,1612412386.0
"sabha, ly",27.0377,14.4283,47.66,59.0,0.0,5.73,LY,1612412295.0
"acapulco, mx",16.8634,-99.8901,75.83,80.0,2.0,6.4,MX,1612412591.0
"thunder bay, ca",48.4001,-89.3168,32.0,86.0,75.0,9.22,CA,1612412591.0
"upernavik, gl",72.7868,-56.1549,-15.41,70.0,0.0,4.56,GL,1612412386.0
"rikitea, pf",-23.1203,-134.9692,78.06,71.0,0.0,12.66,PF,1612412591.0
"key west, us",24.5557,-81.7826,60.8,77.0,1.0,5.75,US,1612412591.0
"isangel, vu",-19.55,169.2667,83.01,69.0,57.0,12.1,VU,1612412592.0
"debre tabor, et",11.85,38.0167,50.14,45.0,0.0,4.88,ET,1612412592.0
"punta arenas, cl",-53.15,-70.9167,57.2,82.0,0.0,10.36,CL,1612412592.0
"saint-philippe, re",-21.3585,55.7679,84.2,58.0,0.0,4.61,RE,1612412392.0
"yershov, ru",51.3513,48.2766,34.92,100.0,100.0,10.54,RU,1612412593.0
"carnarvon, au",-24.8667,113.6333,84.2,100.0,90.0,29.93,AU,1612412593.0
"mar del plata, ar",-38.0023,-57.5575,64.99,82.0,20.0,6.91,AR,1612412344.0
"hermanus, za",-34.4187,19.2345,62.01,93.0,64.0,6.71,ZA,1612412593.0
"porvoo, fi",60.3923,25.6651,5.0,85.0,0.0,12.66,FI,1612412594.0
"jalu, ly",29.0331,21.5482,52.7,90.0,0.0,9.33,LY,1612412594.0
"gushikawa, jp",26.3544,127.8686,73.4,38.0,1.0,4.61,JP,1612412594.0
"hobart, au",-42.8794,147.3294,79.0,50.0,40.0,6.91,AU,1612412409.0
"barrow, us",71.2906,-156.7887,-29.2,85.0,1.0,12.66,US,1612412477.0
"kaeo, nz",-35.1,173.7833,75.99,61.0,25.0,5.99,NZ,1612412595.0
"tessalit, ml",20.1986,1.0114,64.53,24.0,0.0,15.86,ML,1612412516.0
"abu dhabi, ae",24.4667,54.3667,62.6,94.0,75.0,3.44,AE,1612412595.0
"qaanaaq, gl",77.484,-69.3632,-22.61,63.0,0.0,4.45,GL,1612412596.0
"lompoc, us",34.6391,-120.4579,51.8,76.0,1.0,10.36,US,1612412388.0
"ushuaia, ar",-54.8,-68.3,48.2,87.0,75.0,3.44,AR,1612412304.0
"laguna, br",-28.4825,-48.7808,77.81,88.0,100.0,11.41,BR,1612412597.0
"pisco, pe",-13.7,-76.2167,71.01,88.0,0.0,2.3,PE,1612412597.0
"longyearbyen, sj",78.2186,15.6401,23.0,68.0,75.0,13.8,SJ,1612412597.0
"nishihara, jp",26.1842,127.7558,73.4,30.0,40.0,6.91,JP,1612412597.0
"jardim, br",-21.4803,-56.1381,75.65,87.0,99.0,1.48,BR,1612412597.0
"homer, us",59.6425,-151.5483,30.2,74.0,90.0,8.05,US,1612412598.0
"yantal, ru",56.8471,105.2542,15.19,93.0,100.0,13.02,RU,1612412598.0
"clyde river, ca",70.4692,-68.5914,-22.0,76.0,90.0,5.75,CA,1612412427.0
"jeremie, ht",18.65,-74.1167,74.01,76.0,62.0,12.66,HT,1612412598.0
"bredasdorp, za",-34.5322,20.0403,64.4,77.0,57.0,2.3,ZA,1612412381.0
"whitianga, nz",-36.8333,175.7,70.77,55.0,1.0,7.52,NZ,1612412599.0
"yatou, cn",37.15,122.3833,37.42,66.0,0.0,12.48,CN,1612412599.0
"kloulklubed, pw",7.0419,134.2556,86.0,74.0,75.0,12.66,PW,1612412533.0
"loding, no",67.3,14.75,17.6,79.0,40.0,11.5,NO,1612412599.0
"loni, in",28.75,77.2833,66.99,88.0,75.0,3.44,IN,1612412600.0
"vilyuysk, ru",63.7553,121.6247,-27.56,84.0,100.0,8.34,RU,1612412600.0
"ponta do sol, cv",17.1994,-25.0919,68.0,77.0,75.0,19.57,CV,1612412600.0
"vaini, to",-21.2,-175.2,82.4,83.0,75.0,5.75,TO,1612412600.0
"souillac, mu",-20.5167,57.5167,80.6,83.0,40.0,3.44,MU,1612412600.0
"tamandare, br",-8.7597,-35.1047,76.91,81.0,5.0,5.48,BR,1612412601.0
"kahului, us",20.8947,-156.47,69.8,64.0,40.0,11.5,US,1612412459.0
"tuktoyaktuk, ca",69.4541,-133.0374,-41.8,66.0,1.0,8.05,CA,1612412381.0
"geraldton, au",-28.7667,114.6,82.4,42.0,40.0,24.16,AU,1612412601.0
"nikolskoye, ru",59.7035,30.7861,12.99,85.0,75.0,17.9,RU,1612412601.0
"jamestown, sh",-15.9387,-5.7168,67.17,92.0,82.0,15.82,SH,1612412602.0
"east london, za",-33.0153,27.9116,69.8,88.0,20.0,8.05,ZA,1612412602.0
"bowen, au",-20.0167,148.2333,86.0,66.0,40.0,10.36,AU,1612412602.0
"cherskiy, ru",68.75,161.3,1.96,74.0,23.0,9.62,RU,1612412538.0
"mayo, ca",63.5927,-135.8998,-9.4,70.0,90.0,8.05,CA,1612412602.0
"la ronge, ca",55.1001,-105.2842,5.0,78.0,100.0,9.22,CA,1612412603.0
"kapaa, us",22.0752,-159.319,69.8,60.0,1.0,10.36,US,1612412453.0
"vanderhoof, ca",54.0166,-124.0198,8.78,94.0,100.0,2.28,CA,1612412603.0
"hailakandi, in",24.6833,92.5667,73.85,42.0,0.0,4.63,IN,1612412604.0
"castro, cl",-42.4721,-73.7732,59.0,82.0,0.0,9.22,CL,1612412604.0
"agua prieta, mx",31.3,-109.5667,60.01,44.0,60.0,1.01,MX,1612412604.0
"beyneu, kz",45.3167,55.2,38.3,81.0,96.0,5.03,KZ,1612412604.0
"kot addu, pk",30.4692,70.9671,55.4,62.0,0.0,6.91,PK,1612412604.0
"whitehorse, ca",60.7161,-135.0538,-7.01,77.0,20.0,8.05,CA,1612412605.0
"bambous virieux, mu",-20.3428,57.7575,84.0,83.0,40.0,3.44,MU,1612412605.0
"ayorou, ne",14.7308,0.9174,67.98,19.0,0.0,8.86,NE,1612412605.0
"itarare, br",-24.1125,-49.3317,73.0,99.0,97.0,2.04,BR,1612412605.0
"kedrovyy, ru",56.1667,91.8167,17.6,67.0,40.0,11.18,RU,1612412606.0
"chipinge, zw",-20.1883,32.6236,65.53,100.0,86.0,1.68,ZW,1612412606.0
"la trinite, fr",43.7415,7.3135,51.8,87.0,75.0,6.91,FR,1612412606.0
"emet, tr",39.343,29.2585,40.78,75.0,0.0,3.15,TR,1612412606.0
"vulcan, ca",50.4001,-113.2519,5.0,92.0,41.0,2.3,CA,1612412606.0
"general roca, ar",-39.0333,-67.5833,68.0,60.0,0.0,2.3,AR,1612412607.0
"axim, gh",4.8699,-2.2405,78.84,87.0,0.0,5.79,GH,1612412607.0
"esperance, au",-33.8667,121.9,64.4,42.0,90.0,17.27,AU,1612412413.0
"cabo san lucas, mx",22.8909,-109.9124,66.99,68.0,1.0,3.44,MX,1612412607.0
"nushki, pk",29.5542,66.0215,46.74,47.0,0.0,1.45,PK,1612412487.0
"mao, td",14.1212,15.3103,65.89,25.0,15.0,13.58,TD,1612412608.0
"pevek, ru",69.7008,170.3133,-8.39,75.0,0.0,10.8,RU,1612412608.0
"avarua, ck",-21.2078,-159.775,84.2,74.0,20.0,6.91,CK,1612412608.0
"palmer, us",42.1584,-72.3287,30.2,69.0,90.0,4.61,US,1612412608.0
"georgetown, sh",-7.9333,-14.4167,77.85,75.0,52.0,11.68,SH,1612412608.0
"shimoda, jp",34.6667,138.95,50.0,53.0,20.0,24.16,JP,1612412392.0
"fortuna, us",40.5982,-124.1573,44.01,93.0,1.0,6.91,US,1612412609.0
"kibiti, tz",-7.7218,38.9375,71.55,97.0,58.0,1.36,TZ,1612412609.0
"sao filipe, cv",14.8961,-24.4956,72.12,78.0,99.0,8.08,CV,1612412609.0
"dunedin, nz",-45.8742,170.5036,54.0,69.0,0.0,21.99,NZ,1612412609.0
"nanakuli, us",21.3906,-158.1547,71.6,78.0,90.0,6.91,US,1612412610.0
"bandarbeyla, so",9.4942,50.8122,71.31,73.0,7.0,14.47,SO,1612412610.0
"touros, br",-5.1989,-35.4608,77.0,83.0,0.0,6.91,BR,1612412466.0
"skibbereen, ie",51.55,-9.2667,44.6,93.0,75.0,16.11,IE,1612412610.0
"victoria, sc",-4.6167,55.45,78.8,89.0,40.0,10.36,SC,1612412611.0
"luau, ao",-10.7073,22.2247,62.67,97.0,98.0,1.34,AO,1612412611.0
"kaitangata, nz",-46.2817,169.8464,55.99,61.0,0.0,8.99,NZ,1612412611.0
"gisborne, nz",-38.6533,178.0042,64.99,67.0,47.0,14.0,NZ,1612412611.0
"atuona, pf",-9.8,-139.0333,78.21,71.0,5.0,9.19,PF,1612412387.0
"san pedro, bz",17.916,-87.9659,74.75,60.0,0.0,10.16,BZ,1612412612.0
"bairiki, ki",1.3292,172.9752,84.2,74.0,40.0,14.97,KI,1612412612.0
"chuy, uy",-33.6971,-53.4616,67.71,93.0,98.0,16.24,UY,1612412612.0
"abbeville, us",29.9746,-92.1343,54.0,81.0,1.0,6.91,US,1612412612.0
"morgan city, us",29.6994,-91.2068,48.2,87.0,1.0,6.91,US,1612412612.0
"kodinsk, ru",58.6881,99.1844,-1.17,90.0,92.0,2.66,RU,1612412612.0
"jaguariaiva, br",-24.2511,-49.7058,73.0,99.0,99.0,2.01,BR,1612412613.0
"kamenka, ru",51.3223,42.7678,35.01,97.0,100.0,7.52,RU,1612412499.0
"kotovo, ru",50.3211,44.8012,37.81,98.0,100.0,8.16,RU,1612412613.0
"naivasha, ke",-0.7167,36.4359,54.0,79.0,21.0,3.33,KE,1612412613.0
"mount isa, au",-20.7333,139.5,100.4,28.0,99.0,8.05,AU,1612412521.0
"kavieng, pg",-2.5744,150.7967,83.14,72.0,60.0,7.43,PG,1612412614.0
"lityn, ua",49.3251,28.0809,33.8,93.0,75.0,8.95,UA,1612412614.0
"ribeira grande, pt",38.5167,-28.7,55.11,63.0,98.0,30.91,PT,1612412404.0
"talnakh, ru",69.4865,88.3972,-19.91,86.0,99.0,3.98,RU,1612412614.0
"ostrovnoy, ru",68.0531,39.5131,10.35,94.0,100.0,11.43,RU,1612412469.0
"araouane, ml",18.9048,-3.5265,66.99,23.0,5.0,6.11,ML,1612412614.0
"faanui, pf",-16.4833,-151.75,78.24,78.0,99.0,10.04,PF,1612412386.0
"shu, kz",43.5983,73.7614,28.0,90.0,55.0,4.79,KZ,1612412615.0
